User ID,Id,StepTotal,Calories,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes
12,3977333714,14112,1655,30,129,95,660
12,3977333714,13238,1650,43,194,52,687
12,3977333714,12414,1638,19,221,67,738
12,3977333714,12058,1638,0,252,92,724
12,3977333714,13585,1633,9,171,116,688
12,3977333714,13072,1630,1,196,115,676
12,3977333714,13559,1628,14,142,96,852
12,3977333714,13459,1625,31,153,83,663
12,3977333714,12312,1618,14,178,88,680
12,3977333714,11677,1590,29,168,55,676
12,3977333714,11663,1584,4,214,95,605
12,3977333714,11550,1574,0,208,86,703
12,3977333714,11177,1570,50,133,9,781
12,3977333714,11658,1554,2,164,98,845
12,3977333714,11388,1551,7,170,95,797
12,3977333714,10645,1545,36,150,32,744
12,3977333714,10415,1529,11,205,58,600
12,3977333714,10414,1501,41,124,40,691
12,3977333714,10035,1495,31,153,46,754
12,3977333714,8911,1481,33,188,12,731
12,3977333714,9010,1468,15,183,42,644
12,3977333714,8856,1450,44,131,19,777
12,3977333714,7641,1433,5,214,23,801
12,3977333714,7114,1407,15,190,8,804
12,3977333714,6093,1397,0,242,0,712
12,3977333714,7193,1377,0,176,10,714
12,3977333714,746,52,4,9,0,13
13,4020332650,10252,3879,13,346,46,531
13,4020332650,8539,3654,4,331,15,712
13,4020332650,11728,3429,38,196,42,916
13,4020332650,5862,3089,0,263,0,775
13,4020332650,1982,3051,65,55,21,1222
13,4020332650,6132,2975,0,184,0,1256
13,4020332650,1882,2951,36,87,18,1299
13,4020332650,5546,2926,0,206,0,774
13,4020332650,4496,2828,0,174,0,950
13,4020332650,4556,2785,3,173,5,1225
13,4020332650,4369,2704,0,177,0,855
13,4020332650,3689,2645,2,134,8,1296
13,4020332650,475,2207,0,31,11,1350
13,4020332650,108,2011,0,3,0,1437
13,4020332650,62,1995,0,2,0,1438
13,4020332650,16,1990,0,2,0,1438
13,4020332650,0,1981,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,0,1980,0,0,0,1440
13,4020332650,590,1120,0,21,0,721
